stepno=   61, timepoints=1.983000e+03, conv=0, iters=45, x=1.771123e+00 -8.228879e+00 -1.138711e+00 1.464075e+00 1.464075e+00 3.834089e-01 3.834088e-01 1.387463e+00 1.387463e+00 1.037960e+01 8.612888e-01 1.061349e+01 1.200001e+01 1.200001e+01 -3.039085e-03 -2.980610e-03 -7.090168e-04 3.250731e-04 
stepno=   62, timepoints=2.111000e+03, conv=1, iters=50, x=
stepno=   63, timepoints=2.047000e+03, conv=0, iters=45, x=1.771236e+00 -8.228766e+00 -1.133981e+00 1.464148e+00 1.464148e+00 3.822669e-01 3.822667e-01 1.387572e+00 1.387572e+00 1.039115e+01 8.660189e-01 1.062525e+01 1.200001e+01 1.200001e+01 -3.036179e-03 -2.977651e-03 -7.094785e-04 3.253076e-04 
stepno=   64, timepoints=2.175000e+03, conv=1, iters=50, x=
stepno=   65, timepoints=2.111000e+03, conv=0, iters=45, x=1.771333e+00 -8.228669e+00 -1.129947e+00 1.464211e+00 1.464211e+00 3.812152e-01 3.812151e-01 1.387666e+00 1.387666e+00 1.040100e+01 8.700527e-01 1.063528e+01 1.200001e+01 1.200001e+01 -3.033701e-03 -2.975128e-03 -7.098722e-04 3.255075e-04 
stepno=   66, timepoints=2.239000e+03, conv=1, iters=50, x=
stepno=   67, timepoints=2.175000e+03, conv=0, iters=45, x=1.771415e+00 -8.228586e+00 -1.126507e+00 1.464264e+00 1.464264e+00 3.802467e-01 3.802466e-01 1.387746e+00 1.387746e+00 1.040939e+01 8.734925e-01 1.064384e+01 1.200001e+01 1.200001e+01 -3.031588e-03 -2.972976e-03 -7.102079e-04 3.256779e-04 
stepno=   68, timepoints=2.303000e+03, conv=1, iters=50, x=
stepno=   69, timepoints=2.239000e+03, conv=0, iters=45, x=1.771485e+00 -8.228516e+00 -1.123574e+00 1.464309e+00 1.464309e+00 3.793547e-01 3.793546e-01 1.387813e+00 1.387813e+00 1.041656e+01 8.764256e-01 1.065113e+01 1.200001e+01 1.200001e+01 -3.029786e-03 -2.971142e-03 -7.104942e-04 3.258232e-04 
stepno=   70, timepoints=2.367000e+03, conv=1, iters=50, x=
stepno=   71, timepoints=2.303000e+03, conv=0, iters=45, x=1.771544e+00 -8.228457e+00 -1.121073e+00 1.464347e+00 1.464347e+00 3.785332e-01 3.785330e-01 1.387871e+00 1.387871e+00 1.042266e+01 8.789264e-01 1.065735e+01 1.200001e+01 1.200001e+01 -3.028250e-03 -2.969577e-03 -7.107384e-04 3.259472e-04 
stepno=   72, timepoints=2.431000e+03, conv=1, iters=50, x=
stepno=   73, timepoints=2.367000e+03, conv=0, iters=45, x=1.771594e+00 -8.228407e+00 -1.118941e+00 1.464379e+00 1.464379e+00 3.777764e-01 3.777762e-01 1.387919e+00 1.387919e+00 1.042787e+01 8.810586e-01 1.066265e+01 1.200001e+01 1.200001e+01 -3.026940e-03 -2.968244e-03 -7.109467e-04 3.260528e-04 
stepno=   74, timepoints=2.495000e+03, conv=1, iters=50, x=
stepno=   75, timepoints=2.431000e+03, conv=0, iters=45, x=1.771636e+00 -8.228366e+00 -1.117123e+00 1.464405e+00 1.464405e+00 3.770792e-01 3.770791e-01 1.387959e+00 1.387959e+00 1.043232e+01 8.828764e-01 1.066717e+01 1.200001e+01 1.200001e+01 -3.025822e-03 -2.967107e-03 -7.111243e-04 3.261430e-04 
stepno=   76, timepoints=2.559000e+03, conv=1, iters=50, x=
stepno=   77, timepoints=2.495000e+03, conv=0, iters=45, x=1.771671e+00 -8.228331e+00 -1.115573e+00 1.464427e+00 1.464427e+00 3.764369e-01 3.764368e-01 1.387993e+00 1.387993e+00 1.043610e+01 8.844261e-01 1.067103e+01 1.200001e+01 1.200001e+01 -3.024870e-03 -2.966138e-03 -7.112757e-04 3.262198e-04 
stepno=   78, timepoints=2.623000e+03, conv=1, iters=50, x=
stepno=   79, timepoints=2.559000e+03, conv=0, iters=45, x=1.771700e+00 -8.228302e+00 -1.114252e+00 1.464445e+00 1.464445e+00 3.758451e-01 3.758449e-01 1.388021e+00 1.388021e+00 1.043934e+01 8.857472e-01 1.067431e+01 1.200001e+01 1.200001e+01 -3.024058e-03 -2.965311e-03 -7.114049e-04 3.262854e-04 
