stepno=    1, timepoints=1.000000e+00, conv=0, iters= 2, x=2.711089e-15 6.615951e-02 9.900990e-02 6.609276e-05 1.980198e-02 1.000000e+01 -1.851959e-02 
stepno=   93, timepoints=2.943000e+03, conv=0, iters=34, x=6.679893e-01 7.395598e-01 1.000001e+01 7.051478e-01 1.490229e+00 1.000001e+01 -7.875591e-03 
stepno=   94, timepoints=3.071000e+03, conv=1, iters=50, x=
stepno=   95, timepoints=3.007000e+03, conv=0, iters=34, x=6.680036e-01 7.395753e-01 1.000001e+01 7.067935e-01 1.490244e+00 1.000001e+01 -7.875578e-03 
stepno=   96, timepoints=3.135000e+03, conv=1, iters=50, x=
stepno=   97, timepoints=3.071000e+03, conv=0, iters=34, x=6.680170e-01 7.395899e-01 1.000001e+01 7.083401e-01 1.490257e+00 1.000001e+01 -7.875565e-03 
stepno=   98, timepoints=3.199000e+03, conv=1, iters=50, x=
stepno=   99, timepoints=3.135000e+03, conv=0, iters=34, x=6.680295e-01 7.396037e-01 1.000001e+01 7.097937e-01 1.490270e+00 1.000001e+01 -7.875554e-03 
stepno=  100, timepoints=3.263000e+03, conv=1, iters=50, x=
stepno=  101, timepoints=3.199000e+03, conv=0, iters=34, x=6.680414e-01 7.396166e-01 1.000001e+01 7.111598e-01 1.490283e+00 1.000001e+01 -7.875543e-03 
stepno=  102, timepoints=3.327000e+03, conv=1, iters=50, x=
stepno=  103, timepoints=3.263000e+03, conv=0, iters=34, x=6.680525e-01 7.396287e-01 1.000001e+01 7.124437e-01 1.490294e+00 1.000001e+01 -7.875532e-03 
stepno=  104, timepoints=3.391000e+03, conv=1, iters=50, x=
stepno=  105, timepoints=3.327000e+03, conv=0, iters=34, x=6.680629e-01 7.396401e-01 1.000001e+01 7.136503e-01 1.490305e+00 1.000001e+01 -7.875522e-03 
stepno=  106, timepoints=3.455000e+03, conv=1, iters=50, x=
stepno=  107, timepoints=3.391000e+03, conv=0, iters=34, x=6.680727e-01 7.396508e-01 1.000001e+01 7.147843e-01 1.490315e+00 1.000001e+01 -7.875513e-03 
stepno=  108, timepoints=3.519000e+03, conv=1, iters=50, x=
stepno=  109, timepoints=3.455000e+03, conv=0, iters=34, x=6.680820e-01 7.396609e-01 1.000001e+01 7.158500e-01 1.490324e+00 1.000001e+01 -7.875505e-03 
stepno=  110, timepoints=3.583000e+03, conv=1, iters=50, x=
stepno=  111, timepoints=3.519000e+03, conv=0, iters=34, x=6.680906e-01 7.396703e-01 1.000001e+01 7.168516e-01 1.490333e+00 1.000001e+01 -7.875497e-03 
stepno=  112, timepoints=3.647000e+03, conv=1, iters=50, x=
stepno=  113, timepoints=3.583000e+03, conv=0, iters=34, x=6.680988e-01 7.396792e-01 1.000001e+01 7.177930e-01 1.490342e+00 1.000001e+01 -7.875489e-03 
stepno=  114, timepoints=3.711000e+03, conv=1, iters=50, x=
stepno=  115, timepoints=3.647000e+03, conv=0, iters=34, x=6.681064e-01 7.396876e-01 1.000001e+01 7.186777e-01 1.490350e+00 1.000001e+01 -7.875482e-03 
stepno=  116, timepoints=3.775000e+03, conv=1, iters=50, x=
stepno=  117, timepoints=3.711000e+03, conv=0, iters=34, x=6.681136e-01 7.396955e-01 1.000001e+01 7.195091e-01 1.490357e+00 1.000001e+01 -7.875475e-03 
stepno=  118, timepoints=3.839000e+03, conv=1, iters=50, x=
stepno=  119, timepoints=3.775000e+03, conv=0, iters=34, x=6.681204e-01 7.397028e-01 1.000001e+01 7.202905e-01 1.490364e+00 1.000001e+01 -7.875469e-03 
stepno=  120, timepoints=3.903000e+03, conv=1, iters=50, x=
stepno=  121, timepoints=3.839000e+03, conv=0, iters=34, x=6.681267e-01 7.397098e-01 1.000001e+01 7.210249e-01 1.490371e+00 1.000001e+01 -7.875463e-03 
stepno=  122, timepoints=3.967000e+03, conv=1, iters=50, x=
stepno=  123, timepoints=3.903000e+03, conv=0, iters=34, x=6.681327e-01 7.397163e-01 1.000001e+01 7.217151e-01 1.490377e+00 1.000001e+01 -7.875457e-03 
stepno=  124, timepoints=4.031000e+03, conv=1, iters=50, x=
stepno=  125, timepoints=3.967000e+03, conv=0, iters=34, x=6.681383e-01 7.397224e-01 1.000001e+01 7.223637e-01 1.490383e+00 1.000001e+01 -7.875452e-03 
stepno=  126, timepoints=4.095000e+03, conv=1, iters=50, x=
stepno=  127, timepoints=4.031000e+03, conv=0, iters=34, x=6.681436e-01 7.397282e-01 1.000001e+01 7.229733e-01 1.490388e+00 1.000001e+01 -7.875447e-03 
stepno=  128, timepoints=4.159000e+03, conv=1, iters=50, x=
stepno=  129, timepoints=4.095000e+03, conv=0, iters=34, x=6.681485e-01 7.397336e-01 1.000001e+01 7.235462e-01 1.490393e+00 1.000001e+01 -7.875442e-03 
stepno=  130, timepoints=4.223000e+03, conv=1, iters=50, x=
stepno=  131, timepoints=4.159000e+03, conv=0, iters=34, x=6.681532e-01 7.397387e-01 1.000001e+01 7.240847e-01 1.490398e+00 1.000001e+01 -7.875438e-03 
stepno=  132, timepoints=4.287000e+03, conv=1, iters=50, x=
stepno=  133, timepoints=4.223000e+03, conv=0, iters=34, x=6.681576e-01 7.397435e-01 1.000001e+01 7.245907e-01 1.490403e+00 1.000001e+01 -7.875434e-03 
stepno=  134, timepoints=4.351000e+03, conv=1, iters=50, x=
stepno=  135, timepoints=4.287000e+03, conv=0, iters=34, x=6.681617e-01 7.397480e-01 1.000001e+01 7.250663e-01 1.490407e+00 1.000001e+01 -7.875430e-03 
stepno=  136, timepoints=4.415000e+03, conv=1, iters=50, x=
stepno=  137, timepoints=4.351000e+03, conv=0, iters=34, x=6.681656e-01 7.397522e-01 1.000001e+01 7.255133e-01 1.490411e+00 1.000001e+01 -7.875426e-03 
stepno=  138, timepoints=4.479000e+03, conv=1, iters=50, x=
stepno=  139, timepoints=4.415000e+03, conv=0, iters=34, x=6.681692e-01 7.397561e-01 1.000001e+01 7.259333e-01 1.490415e+00 1.000001e+01 -7.875423e-03 
stepno=  140, timepoints=4.543000e+03, conv=1, iters=50, x=
stepno=  141, timepoints=4.479000e+03, conv=0, iters=34, x=6.681726e-01 7.397599e-01 1.000001e+01 7.263281e-01 1.490418e+00 1.000001e+01 -7.875420e-03 
stepno=  142, timepoints=4.607000e+03, conv=1, iters=50, x=
stepno=  143, timepoints=4.543000e+03, conv=0, iters=34, x=6.681758e-01 7.397634e-01 1.000001e+01 7.266991e-01 1.490421e+00 1.000001e+01 -7.875417e-03 
stepno=  144, timepoints=4.671000e+03, conv=1, iters=50, x=
stepno=  145, timepoints=4.607000e+03, conv=0, iters=34, x=6.681788e-01 7.397667e-01 1.000001e+01 7.270478e-01 1.490424e+00 1.000001e+01 -7.875414e-03 
stepno=  146, timepoints=4.735000e+03, conv=1, iters=50, x=
stepno=  147, timepoints=4.671000e+03, conv=0, iters=34, x=6.681817e-01 7.397698e-01 1.000001e+01 7.273755e-01 1.490427e+00 1.000001e+01 -7.875411e-03 
stepno=  148, timepoints=4.799000e+03, conv=1, iters=50, x=
stepno=  149, timepoints=4.735000e+03, conv=0, iters=34, x=6.681843e-01 7.397727e-01 1.000001e+01 7.276835e-01 1.490430e+00 1.000001e+01 -7.875409e-03 
stepno=  150, timepoints=4.863000e+03, conv=1, iters=50, x=
